
iteration,x,y,theta
320,-1076.853638,-718.397095,-4.514883
321,-1076.853638,-718.397095,-4.514883
322,-1076.853638,-718.397095,-4.514883
323,-1076.853638,-718.397095,-4.514883
324,-1076.853638,-718.397095,-4.514883
325,-1076.853638,-718.397095,-4.514883
326,-1076.853638,-718.397095,-4.514883
327,-1076.853638,-718.397095,-4.514883
328,-1076.853638,-718.397095,-4.514883
329,-1076.853638,-718.397095,-4.514883
330,-1076.853638,-718.397095,-4.514883
331,-1076.853638,-718.397095,-4.514883
332,-1076.853638,-718.397095,-4.514883
333,-1076.853638,-718.397095,-4.514883
334,-1076.853638,-718.397095,-4.514883
335,-1076.853638,-718.397095,-4.514883
336,-1076.853638,-718.397095,-4.514883
337,-1076.853638,-718.397095,-4.514883
338,-1076.853638,-718.397095,-4.514883
339,-1076.853638,-718.397095,-4.514883
340,-1076.853638,-718.397095,-4.514883
341,-1076.853638,-718.397095,-4.514883
342,-1076.853638,-718.397095,-4.514883
343,-1076.853638,-718.397095,-4.514883
344,-1076.853638,-718.397095,-4.514883
345,-1076.853638,-718.397095,-4.514883
346,-1076.853638,-718.397095,-4.514883
347,-1076.853638,-718.397095,-4.514883
348,-1076.853638,-718.397095,-4.514883
349,-1076.853638,-718.397095,-4.514883
350,-1076.853638,-718.397095,-4.514883
351,-1076.853638,-718.397095,-4.514883
352,-1076.853638,-718.397095,-4.514883
353,-1076.853638,-718.397095,-4.514883
354,-1076.853638,-718.397095,-4.514883
355,-1076.853638,-718.397095,-4.514883
356,-1076.853638,-718.397095,-4.514883
357,-1076.853638,-718.397095,-4.514883
358,-1076.853638,-718.397095,-4.514883
359,-1076.853638,-718.397095,-4.514883
360,-1076.853638,-718.397095,-4.514883
361,-1076.853638,-718.397095,-4.514883
362,-1076.853638,-718.397095,-4.514883
363,-1076.853638,-718.397095,-4.514883
364,-1076.853638,-718.397095,-4.514883
365,-1076.853638,-718.397095,-4.514883
366,-1076.853638,-718.397095,-4.514883
367,-1076.853638,-718.397095,-4.514883
