
iteration,x,y,theta
360,2288.014648,-225.932343,8.313945
361,2288.014648,-225.932343,8.313945
362,2288.014648,-225.932343,8.313945
363,2288.014648,-225.932343,8.313945
364,2288.014648,-225.932343,8.313945
365,2288.014648,-225.932343,8.313945
366,2288.014648,-225.932343,8.313945
367,2288.014648,-225.932343,8.313945
368,2288.014648,-225.932343,8.313945
369,2288.014648,-225.932343,8.313945
370,2288.014648,-225.932343,8.313945
371,2288.014648,-225.932343,8.313945
372,2288.014648,-225.932343,8.313945
373,2288.014648,-225.932343,8.313945
374,2288.014648,-225.932343,8.313945
375,2288.014648,-225.932343,8.313945
376,2288.014648,-225.932343,8.313945
377,2288.014648,-225.932343,8.313945
378,2288.014648,-225.932343,8.313945
379,2288.014648,-225.932343,8.313945
380,2288.014648,-225.932343,8.313945
381,2288.014648,-225.932343,8.313945
382,2288.014648,-225.932343,8.313945
383,2288.014648,-225.932343,8.313945
384,2288.014648,-225.932343,8.313945
385,2288.014648,-225.932343,8.313945
386,2288.014648,-225.932343,8.313945
387,2288.014648,-225.932343,8.313945
388,2288.014648,-225.932343,8.313945
389,2288.014648,-225.932343,8.313945
390,2288.014648,-225.932343,8.313945
391,2288.014648,-225.932343,8.313945
392,2288.014648,-225.932343,8.313945
393,2288.014648,-225.932343,8.313945
394,2288.014648,-225.932343,8.313945
395,2288.014648,-225.932343,8.313945
396,2288.014648,-225.932343,8.313945
397,2288.014648,-225.932343,8.313945
398,2288.014648,-225.932343,8.313945
399,2288.014648,-225.932343,8.313945
400,2288.014648,-225.932343,8.313945
401,2288.014648,-225.932343,8.313945
402,2288.014648,-225.932343,8.313945
403,2288.014648,-225.932343,8.313945
404,2288.014648,-225.932343,8.313945
405,2288.014648,-225.932343,8.313945
406,2288.014648,-225.932343,8.313945
407,2288.014648,-225.932343,8.313945
408,2288.014648,-225.932343,8.313945
409,2288.014648,-225.932343,8.313945
410,2288.014648,-225.932343,8.313945
411,2288.014648,-225.932343,8.313945
412,2288.014648,-225.932343,8.313945
413,2288.014648,-225.932343,8.313945
414,2288.014648,-225.932343,8.313945
415,2288.014648,-225.932343,8.313945
416,2288.014648,-225.932343,8.313945
417,2288.014648,-225.932343,8.313945
418,2288.014648,-225.932343,8.313945
419,2288.014648,-225.932343,8.313945
420,2288.014648,-225.932343,8.313945
421,2288.014648,-225.932343,8.313945
422,2288.014648,-225.932343,8.313945
423,2288.014648,-225.932343,8.313945
424,2288.014648,-225.932343,8.313945
